DATE,CSUSHPINSA
2/1/2008,169.194
3/1/2008,167.906
4/1/2008,167.324
5/1/2008,167.021
6/1/2008,166.537
7/1/2008,165.714
8/1/2008,164.278
9/1/2008,161.913
10/1/2008,159.163
11/1/2008,156.071
12/1/2008,152.544
1/1/2009,149.361
2/1/2009,147.616
3/1/2009,146.513
4/1/2009,146.942
5/1/2009,148.169
6/1/2009,149.796
7/1/2009,150.747
8/1/2009,150.667
9/1/2009,149.626
10/1/2009,148.583
11/1/2009,147.938
12/1/2009,146.665
1/1/2010,145.003
2/1/2010,143.055
3/1/2010,143.596
4/1/2010,145.4
5/1/2010,147.035
6/1/2010,147.701
7/1/2010,147.561
8/1/2010,146.426
9/1/2010,144.607
10/1/2010,143.127
11/1/2010,141.819
12/1/2010,140.632
1/1/2011,139.043
2/1/2011,137.74
3/1/2011,137.791
4/1/2011,139.16
5/1/2011,140.691
6/1/2011,141.943
7/1/2011,142.34
8/1/2011,141.784
9/1/2011,140.168
10/1/2011,138.411
11/1/2011,136.667
12/1/2011,135.168
1/1/2012,134.166
2/1/2012,133.993
3/1/2012,135.862
4/1/2012,138.473
5/1/2012,141.051
6/1/2012,143.17
7/1/2012,144.281
8/1/2012,144.703
9/1/2012,144.356
10/1/2012,143.967
11/1/2012,143.961
12/1/2012,143.869
1/1/2013,144.312
2/1/2013,145.162
3/1/2013,147.961
4/1/2013,150.969
5/1/2013,153.861
6/1/2013,156.432
7/1/2013,158.294
8/1/2013,159.403
9/1/2013,159.68
10/1/2013,159.559
11/1/2013,159.364
12/1/2013,159.281
1/1/2014,159.372
2/1/2014,159.878
3/1/2014,161.194
4/1/2014,162.973
5/1/2014,164.687
6/1/2014,166.215
7/1/2014,167.139
8/1/2014,167.453
9/1/2014,167.244
10/1/2014,166.913
11/1/2014,166.661
12/1/2014,166.465
1/1/2015,166.257
2/1/2015,166.642
3/1/2015,168.099
4/1/2015,169.977
5/1/2015,171.856
6/1/2015,173.456
7/1/2015,174.502
8/1/2015,174.946
9/1/2015,175.055
10/1/2015,175.063
11/1/2015,175.158
12/1/2015,175.134
1/1/2016,175.054
2/1/2016,175.298
3/1/2016,176.617
4/1/2016,178.509
5/1/2016,180.355
6/1/2016,181.927
7/1/2016,183.03
8/1/2016,183.668
9/1/2016,183.959
10/1/2016,184.036
11/1/2016,184.25
12/1/2016,184.422
1/1/2017,184.676
2/1/2017,185.043
3/1/2017,186.548
4/1/2017,188.556
5/1/2017,190.553
6/1/2017,192.287
7/1/2017,193.538
8/1/2017,194.376
9/1/2017,194.848
10/1/2017,195.114
11/1/2017,195.48
12/1/2017,195.875
1/1/2018,196.141
2/1/2018,196.928
3/1/2018,198.597
4/1/2018,200.64
5/1/2018,202.477
6/1/2018,204.065
7/1/2018,204.971
8/1/2018,205.348
9/1/2018,205.396
10/1/2018,205.396
11/1/2018,205.136
12/1/2018,204.731
1/1/2019,204.243
2/1/2019,204.476
3/1/2019,205.822
4/1/2019,207.729
5/1/2019,209.391
6/1/2019,210.63
7/1/2019,211.384
8/1/2019,211.744
9/1/2019,211.923
10/1/2019,212.017
11/1/2019,212.156
12/1/2019,212.283
1/1/2020,212.436
2/1/2020,213.25
3/1/2020,215.219
4/1/2020,217.263
5/1/2020,218.512
6/1/2020,219.842
7/1/2020,221.611
8/1/2020,224.096
9/1/2020,226.858
10/1/2020,229.875
11/1/2020,232.385
12/1/2020,234.438
1/1/2021,236.515
2/1/2021,239.286
3/1/2021,244.275
4/1/2021,249.865
5/1/2021,255.487
6/1/2021,261.235
7/1/2021,265.592
8/1/2021,268.887
9/1/2021,271.572
10/1/2021,273.824
11/1/2021,276.246
12/1/2021,278.696
1/1/2022,281.851
